path,id,guid,guid_status,title,has_title,has_created,has_fm_version,errors
content/docs/sk/7Ds/07.D7-LessonLearned/03.Questions/README.migrated.md,KXXXXXXX,ef304618-4c60-4a17-b1bd-2ff8e63b973a,ok,03.Questions,1,1,1,
content/docs/sk/7Ds/07.D7-LessonLearned/03.Questions/index.md,KXXXXXXX,65918954-5c24-4458-a3ea-7bd93bf46014,ok,03.Questions,1,1,1,
content/docs/sk/7Ds/07.D7-LessonLearned/04.Proposals/index.md,KXXXXXXX,24307cfd-be56-4ae9-aa2d-e40864c26ba8,ok,04.Proposals,1,1,1,
content/docs/sk/7Ds/07.D7-LessonLearned/05.NextSteps/index.md,KXXXXXXX,6b6a747b-cffd-4014-a55f-023817c07fd9,ok,05.NextSteps,1,1,1,
content/docs/sk/7Ds/07.D7-LessonLearned/06.HowTo/README.migrated.md,KXXXXXXX,0d82a7dc-ceb7-46d4-8b82-89bab85260b8,ok,06.HowTo,1,1,1,
content/docs/sk/7Ds/07.D7-LessonLearned/06.HowTo/index.md,KXXXXXXX,c94a33f6-9ca1-4e70-a544-b3eafc046fc3,ok,06.HowTo,1,1,1,
content/docs/sk/7Ds/07.D7-LessonLearned/07.TroubleShooting/README.migrated.md,KXXXXXXX,cef17650-88d3-447f-9a20-943b364cd77f,ok,07.TroubleShooting,1,1,1,
content/docs/sk/7Ds/07.D7-LessonLearned/07.TroubleShooting/index.md,KXXXXXXX,b8e79dc3-08d4-458f-b442-a478f5612448,ok,07.TroubleShooting,1,1,1,
content/docs/sk/7Ds/07.D7-LessonLearned/index.md,KXXXXXXX,9bd7b969-d1df-4669-ba66-9eaf903e44e7,ok,07.D7-LessonLearned,1,1,1,
content/docs/sk/7Ds/08.Resources/01.HumanResources/index.md,KXXXXXXX,9716996f-e3f9-4567-bc4c-f95eca1fa7f5,ok,01.HumanResources,1,1,1,
content/docs/sk/7Ds/08.Resources/02.TimeResources/index.md,KXXXXXXX,b706e012-e820-4f4d-9afd-8b3c03ae557b,ok,02.TimeResources,1,1,1,
content/docs/sk/7Ds/08.Resources/03.Finance/index.md,KXXXXXXX,1b2e608b-5017-4e8c-bdbe-e2e6e18e939d,ok,03.Finance,1,1,1,
content/docs/sk/7Ds/08.Resources/index.md,KXXXXXXX,9c3f6889-d692-45f4-9c74-42721ee3785c,ok,08.Resources,1,1,1,
content/docs/sk/7Ds/index.md,KXXXXXXX,754B9ECA-35DC-42EC-9219-5F658EF0C424,ok,7Ds,1,1,1,
content/docs/sk/index.md,KNIFE_HOME,7afa4bdc-bb40-490b-8697-c9bf7c3ba848,ok, ,1,1,1,
content/docs/sk/knifes/K000001-ea-modelovanie-a-motivacia/index.md,K000001,728afefa-b72f-4aa6-b31e-4a388cdd7a46,ok,EA modelovanie a motivácia,1,1,1,
content/docs/sk/knifes/K000002-git-workflow-pre-ea-modely/index.md,K000002,6cf87ac0-1644-4134-8c67-8e61da2dca78,ok,Git workflow pre EA modely,1,1,1,
content/docs/sk/knifes/K000003-libreoffice-python-integracia/index.md,K000003,dd435f3c-8a1d-4fc0-b873-12645f6aa10f,ok,LibreOffice + Python integrácia,1,1,1,
content/docs/sk/knifes/K000004-docker-pre-studentov-k12/index.md,K000004,76ab8f65-0259-48ab-adbf-86cfa6a80d57,ok,Docker pre študentov (K12),1,1,1,
content/docs/sk/knifes/K000005-bazi-pre-racionalne-duse/index.md,K000005,610c8ab7-dffb-4172-bf31-0fd95e5102dd,ok,BaZi pre racionálne duše,1,1,1,
content/docs/sk/knifes/K000006-timova-sprava-prav-v-gitea/index.md,K000006,278b53c7-c34d-42b5-8969-3d22e63badd7,ok,Tímová správa práv v Gitea,1,1,1,
content/docs/sk/knifes/K000007-helper-skript-na-obrazky-v-markdown/index.md,K000007,745a9616-e53d-4a82-b14d-7e7fbf8bfef8,ok,Helper skript na obrázky v Markdown,1,1,1,
content/docs/sk/knifes/K000008-dcmm-a-dao-hodnota-leadershipu/index.md,K000008,fbb56d3a-aa9f-4594-bdfd-b30c12c09174,ok,DCMM a DAO – hodnota leadershipu,1,1,1,
content/docs/sk/knifes/K000009-linkedin-post-engine-ai-automatizacia/index.md,K000009,2a2564bd-e234-42ed-acd9-e80ddb128b17,ok,LinkedIn post engine – AI automatizácia,1,1,1,
content/docs/sk/knifes/K000010-openai-klient-vlastna-ai-komunikacia/index.md,K000010,833ed8e5-8144-4de4-b63a-1d6000dee2a1,ok,OpenAI klient – vlastná AI komunikácia,1,1,1,
content/docs/sk/knifes/K000011-main-xba-sablona-pre-lo-basic/index.md,K000011,f5282c5a-cda6-4028-8f5a-ce9d3637c5c8,ok,Main.xba šablóna pre LO Basic,1,1,1,
content/docs/sk/knifes/K000012-ea-workflow-add-in-pokrocile-sablony/index.md,K000012,5c2a2821-7814-4e7f-b479-33fd736bf633,ok,EA Workflow Add-In – pokročilé šablóny,1,1,1,
content/docs/sk/knifes/K000013-readonlycontrol-v-ea-workflow-add-in/index.md,K000013,fea26033-7add-4816-bfc1-a7e65df4d2b4,ok,ReadOnlyControl v EA – Workflow Add-In,1,1,1,
content/docs/sk/knifes/K000014-manazer-kniznic-pre-lo-basic/index.md,K000014,56e95dd8-a633-4850-8615-063ce541fc44,ok,Manažér knižníc pre LO Basic,1,1,1,
content/docs/sk/knifes/K000015-libreoffice-basic-python-migracia/index.md,K000015,67a1b9c8-6fc2-4c20-94dd-95a08111ec73,ok,LibreOffice Basic → Python migrácia,1,1,1,
content/docs/sk/knifes/K000016-helper-skript-pre-lo-symbolic-link/index.md,K000016,daf7cda8-38d2-4206-84f7-1cdc8a169276,ok,Helper skript pre LO symbolic link,1,1,1,
content/docs/sk/knifes/K000017-ai-powered-terno-planner/index.md,K000017,41a44dfe-5b85-480a-8168-710530b572d6,ok,AI-powered TERNO Planner,1,1,1,
content/docs/sk/knifes/K000019-bazi-vypocty-algoritmus-hodiny-kalendar/index.md,K000019,986a2d27-e983-4c02-b17b-f54b5625c188,ok,"BaZi výpočty – algoritmus, hodiny, kalendár",1,1,1,
content/docs/sk/knifes/K000020-libreoffice-ako-komunitna-platforma/index.md,K000020,9c178019-c50a-4a28-b344-afd80f289523,ok,LibreOffice ako komunitná platforma,1,1,1,
content/docs/sk/knifes/K000021-princip-udrzatelnosti-v-architekture/index.md,K000021,48dbd9ae-966a-4a5b-8eda-bd4257793384,ok,Princíp udržateľnosti v architektúre,1,1,1,
content/docs/sk/knifes/K000022-terno-terapeuticke-formy-ucenia/index.md,K000022,27ffa9b9-04b5-4a79-921c-38123de82f2d,ok,TERNO – terapeutické formy učenia,1,1,1,
content/docs/sk/knifes/K000023-ai-interakcie-casova-os-a-emocie/index.md,K000023,a9ea072a-2fc0-425a-ac4d-9140d92ab221,ok,AI interakcie – časová os a emócie,1,1,1,
content/docs/sk/knifes/K000024-onenote-ako-zdroj-metadat-pre-ai/index.md,K000024,18f0681d-54db-4a41-a7fd-b77386a7299e,ok,OneNote ako zdroj metadát pre AI,1,1,1,
content/docs/sk/knifes/K000025-kategorizacia-terno-podla-sdlc-a-7d/index.md,K000025,0e591458-c661-4f18-8e85-9c1c14efaedc,ok,Kategorizácia TERNO podľa SDLC a 7D,1,1,1,
content/docs/sk/knifes/K000026-knife-framework-pre-vyvoj-a-ucenie-sa-libreoffice-python/index.md,REF-UAT-001,63773bd8-2732-4e66-8aee-00deb8db06a1,ok,Postup pre presun zmien z vetvy FIX do UAT,1,1,1,
content/docs/sk/knifes/K000027-git-for-dummies-central-concepts/index.md,K000027,3264251d-6fb5-41f2-b8eb-9b726c2542f2,ok,Git For Dummies – Central Concepts,1,1,1,
content/docs/sk/knifes/K000028-context-aware-system-ontology-approach/index.md,K000028,735d6a47-d44c-40c7-861c-8fca193b68ef,ok,"Context Aware System Ontology, Approach",1,1,1,
content/docs/sk/knifes/K000029-prostredie-vyvojove-python-pre-lo/index.md,K000029,31b04e60-ff57-4a5b-95b3-e24be0a1e338,ok,Prostredie vývojové python pre LO,1,1,1,
content/docs/sk/knifes/K000030-pribeh-poznania-sdlc/index.md,K000030,553c7b60-ab06-4412-96dc-84d0ea2fa323,ok,Príbeh poznania SDLC,1,1,1,
content/docs/sk/knifes/K000031-document-as-code-framework/index.md,K000031,0b3729dc-ca0b-4025-879a-c6fc72a83d84,ok,"„Document-as-Code\\\\\\\\\\\\\\\"" framework",1,1,1,
content/docs/sk/knifes/K000032-enterprise-document-integrated-sdlc/index.md,K000032,d7f03d39-ef27-4747-96b3-1ed94589eb90,ok,"„Enterprise Document-integrated SDLC\\\\\\\\\\\\\\\""",1,1,1,
content/docs/sk/knifes/K000033-smalltalk-ako-nastroj-flowu-a-kontextu/index.md,K000033,4bf0fa16-972c-4cbc-a923-2d28af33f41d,ok,Smalltalk ako nástroj flowu a kontextu,1,1,1,
content/docs/sk/knifes/K000034-pracovno-financny-ekosystem/index.md,K000034,cd2b41b5-45c1-4464-9c35-94ad9309bbea,ok,"Pracovno, finančný ekosystém",1,1,1,
content/docs/sk/knifes/K000035-context-aware-solutions-paradigma-solution/index.md,K000035,a0dd0165-5fd8-4d56-b1e5-46b014bf6dd6,ok,"Context Aware Solutions / paradigma, solution",1,1,1,
content/docs/sk/knifes/K000036-pracovno-financny-ekosystem/index.md,K000036,5d8e7ee1-a0d2-474b-832e-c91a030ea3d0,ok,"Pracovno, finančný ekosystém",1,1,1,
content/docs/sk/knifes/K000037-context-aware-solutions-paradigma-solution/index.md,K000037,ae7ca16f-5400-4912-b3e1-60c755c6b16b,ok,"Context Aware Solutions / paradigma, solution",1,1,1,
content/docs/sk/knifes/K000038-ako-si-vyrobit-automaticke-nastavovanie-ssl/index.md,K000038,14675413-a6ee-4b45-9be4-1e2012d03c95,ok,Ako si vyrobit automaticke nastavovanie SSL,1,1,1,
content/docs/sk/knifes/K000039-sementicke-a-kontextove-vyhladavanie-nad-github/index.md,K000039,d65f381f-c6dd-43af-a6e3-1742a5adb17d,ok,Sementicke a kontextove vyhladavanie nad GitHUB,1,1,1,
content/docs/sk/knifes/K000040-migracia-joomla-github-mkdocs/index.md,K000040,c96e9214-93fc-4799-ae2d-43fa543430fd,ok,Migracia Joomla -->GitHUB MkDocs,1,1,1,
content/docs/sk/knifes/K000041-github-education-framework/index.md,K000041,e1f2e352-e045-4680-a750-4bba1f8f7479,ok,GitHUB Education Framework,1,1,1,
content/docs/sk/knifes/K000042-singlepageapplication-webabased-desktop-app/index.md,K000042,ed25f447-b17f-4a3a-941e-bb441e170fc3,ok,SinglePageApplication – Webabased desktop app,1,1,1,
content/docs/sk/knifes/K000043-kontrola-odpovede-studentov-pomocou-api-na-ai/index.md,K000043,50afe040-3e25-46cc-bb56-8b594dadf3cf,ok,Kontrola odpovedé študentov pomocou API na AI,1,1,1,
content/docs/sk/knifes/K000044-onedrive-backup-to-external-disk-on-qnap/index.md,K000044,dee65721-5f92-4cf5-8a45-0dd0ace2a7e9,ok,OneDrive backup to external disk on QNAP,1,1,1,
content/docs/sk/knifes/K000045-zakladne-informacie-o-esg/index.md,K000045,550e3260-c6ee-402a-9c41-5250e9cd1af3,ok,Základné informácie o ESG,1,1,1,
